hyponym,hypo-definition,hypernym
able,(usually followed by ‘to’) having the necessary means or skill or know-how or authority to do something,qualified
able,(usually followed by ‘to’) having the necessary means or skill or know-how or authority to do something,competent
abnormal,not normal; not typical or usual or regular or conforming to a norm,unusual
abnormal,not normal; not typical or usual or regular or conforming to a norm,irregular
above,appearing earlier in the same text,prior
above,appearing earlier in the same text,earlier
above,appearing earlier in the same text,previous
absent,not being in a specified place,unavailable
absolute,perfect or complete or pure,complete
acceptable,worthy of acceptance or satisfactory,suitable
acceptable,worthy of acceptance or satisfactory,adequate
accessible,capable of being reached,available
accessible,capable of being reached,attainable
accessible,capable of being reached,reachable
accurate,conforming exactly or almost exactly to fact or to a standard or performing with total accuracy,correct
accurate,conforming exactly or almost exactly to fact or to a standard or performing with total accuracy,reliable
accused,a defendant in a criminal proceeding,criminal
active,tending to become more severe or wider in scope,intense
active,tending to become more severe or wider in scope,expanding
active,tending to become more severe or wider in scope,increasing
active,tending to become more severe or wider in scope,progressive
active,tending to become more severe or wider in scope,worsening
actual,presently existing in fact and not merely potential or possible,present
actual,presently existing in fact and not merely potential or possible,existing
addicted,compulsively or physiologically dependent on something habit-forming,habitual
addicted,compulsively or physiologically dependent on something habit-forming,dependent
additional,further or added,supplementary
adjacent,nearest in space or position; immediately adjoining without intervening space,near
adjacent,nearest in space or position; immediately adjoining without intervening space,close
adjacent,nearest in space or position; immediately adjoining without intervening space,proximate
administrative,of or relating to or responsible for administration,managerial
administrative,of or relating to or responsible for administration,official
administrative,of or relating to or responsible for administration,executive
adult,(of animals) fully developed,developed
adult,(of animals) fully developed,mature
advanced,farther along in physical or mental development,developed
advanced,farther along in physical or mental development,progressive
advanced,farther along in physical or mental development,mature
adverse,contrary to your interests or welfare,detrimental
adverse,contrary to your interests or welfare,harmful
adverse,contrary to your interests or welfare,unfavorable
advisory,giving advice,guiding
advisory,giving advice,helpful
advisory,giving advice,informative
advisory,giving advice,instructive
aesthetic,relating to or dealing with the subject of aesthetics,cultural
afraid,filled with fear or apprehension,anxious
afraid,filled with fear or apprehension,nervous
afraid,filled with fear or apprehension,worried
afraid,filled with fear or apprehension,apprehensive
aggregate,formed of separate units gathered into a mass or whole,combined
agile,moving quickly and lightly,active
agreed,united by being of the same opinion,harmonious
agreed,united by being of the same opinion,concordant
agreed,united by being of the same opinion,united
agricultural,relating to or used in or promoting agriculture or farming,economic
agricultural,relating to or used in or promoting agriculture or farming,rural
alert,engaged in or accustomed to close observation,vigilant
alert,engaged in or accustomed to close observation,observant
alert,engaged in or accustomed to close observation,attentive
alive,possessing life,animate
alone,isolated from others,separate
alone,isolated from others,isolated
aloof,remote in manner,detached
aloof,remote in manner,reserved
alright,nonstandard usage,acceptable
alright,nonstandard usage,good
alright,nonstandard usage,suitable
alright,nonstandard usage,satisfactory
alternative,serving or used in place of another,secondary
amateur,engaged in as a pastime,nonprofessional
amazing,surprising greatly,impressive
amazing,surprising greatly,remarkable
amazing,surprising greatly,extraordinary
amber,of a medium to dark brownish yellow color,brown
amber,of a medium to dark brownish yellow color,yellow
ambiguous,open to two or more interpretations; or of uncertain nature or significance; or (often) intended to mislead,vague
ambiguous,open to two or more interpretations; or of uncertain nature or significance; or (often) intended to mislead,unclear
ambiguous,open to two or more interpretations; or of uncertain nature or significance; or (often) intended to mislead,uncertain
ample,more than enough in size or scope or capacity,abundant
ample,more than enough in size or scope or capacity,sufficient
ancient,belonging to times long past especially of the historical period before the fall of the Western Roman Empire,old
angry,feeling or showing anger,upset
angry,feeling or showing anger,irritated
annual,completing its life cycle within a year,periodic
annual,completing its life cycle within a year,seasonal
anonymous,having no known name or identity or known source,unidentified
anonymous,having no known name or identity or known source,unknown
anxious,eagerly desirous,eager
anxious,eagerly desirous,desirous
appalling,strike with disgust or revulsion,repulsive
appalling,strike with disgust or revulsion,offensive
appalling,strike with disgust or revulsion,disgusting
apparent,clearly revealed to the mind or the senses or judgment,obvious
apparent,clearly revealed to the mind or the senses or judgment,visible
applicable,capable of being applied; having relevance,relevant
applicable,capable of being applied; having relevance,pertinent
applicable,capable of being applied; having relevance,suitable
applied,concerned with concrete problems or data rather than with fundamental principles,empirical
applied,concerned with concrete problems or data rather than with fundamental principles,practical
appointed,subject to appointment,selected
appointed,subject to appointment,designated
appropriate,suitable for a particular person or place or condition etc,fitting
approved,established by authority; given authoritative approval,authorized
approved,established by authority; given authoritative approval,certified
arbitrary,based on or subject to individual discretion or preference or sometimes impulse or caprice,subjective
arbitrary,based on or subject to individual discretion or preference or sometimes impulse or caprice,unpredictable
archaeological,related to or dealing with or devoted to archaeology,academic
archaeological,related to or dealing with or devoted to archaeology,scientific
archaeological,related to or dealing with or devoted to archaeology,cultural
archaeological,related to or dealing with or devoted to archaeology,historical
architectural,of or pertaining to the art and science of architecture,artistic
armed,(used of persons or the military) characterized by having or bearing arms,equipped
arrogant,having or showing feelings of unwarranted importance out of overbearing pride,haughty
arrogant,having or showing feelings of unwarranted importance out of overbearing pride,overbearing
arrogant,having or showing feelings of unwarranted importance out of overbearing pride,proud
articulate,expressing yourself easily or characterized by clear expressive language,expressive
articulate,expressing yourself easily or characterized by clear expressive language,clear
articulate,expressing yourself easily or characterized by clear expressive language,eloquent
articulate,expressing yourself easily or characterized by clear expressive language,communicative
artificial,contrived by art rather than nature,fabricated
artificial,contrived by art rather than nature,constructed
