hyponym,hypo-definition,hypernym
abnormal,not normal; not typical or usual or regular or conforming to a norm,different
abnormal,not normal; not typical or usual or regular or conforming to a norm,uncommon
above,appearing earlier in the same text,preceding
absolute,perfect or complete or pure,perfect
absolute,perfect or complete or pure,total
absolute,perfect or complete or pure,pure
accessible,capable of being reached,obtainable
accurate,conforming exactly or almost exactly to fact or to a standard or performing with total accuracy,valid
accurate,conforming exactly or almost exactly to fact or to a standard or performing with total accuracy,truthful
active,tending to become more severe or wider in scope,severe
addicted,compulsively or physiologically dependent on something habit-forming,compulsive
additional,further or added,further
administrative,of or relating to or responsible for administration,organizational
administrative,of or relating to or responsible for administration,governmental
advanced,farther along in physical or mental development,evolved
adverse,contrary to your interests or welfare,negative
aesthetic,relating to or dealing with the subject of aesthetics,philosophical
afraid,filled with fear or apprehension,concerned
afraid,filled with fear or apprehension,timid
aggregate,formed of separate units gathered into a mass or whole,assembled
aggregate,formed of separate units gathered into a mass or whole,collective
aggregate,formed of separate units gathered into a mass or whole,unified
agile,moving quickly and lightly,fast
agreed,united by being of the same opinion,consistent
agreed,united by being of the same opinion,similar
agreed,united by being of the same opinion,unified
alien,not contained in or deriving from the essential nature of something,extraneous
alien,not contained in or deriving from the essential nature of something,strange
alien,not contained in or deriving from the essential nature of something,unfamiliar
alive,possessing life,living
alive,possessing life,biological
alive,possessing life,existing
alleged,declared but not proved,asserted
alleged,declared but not proved,purported
alleged,declared but not proved,reported
alleged,declared but not proved,claimed
allied,of or relating to or denoting the Allies in World War II,military
allied,of or relating to or denoting the Allies in World War II,international
alone,isolated from others,detached
alone,isolated from others,remote
aloof,remote in manner,unfriendly
alright,nonstandard usage,adequate
alternative,serving or used in place of another,replacement
amateur,engaged in as a pastime,casual
amazing,surprising greatly,surprising
amber,of a medium to dark brownish yellow color,yellowish
amber,of a medium to dark brownish yellow color,brownish
amber,of a medium to dark brownish yellow color,golden
ambiguous,open to two or more interpretations; or of uncertain nature or significance; or (often) intended to mislead,obscure
ancient,belonging to times long past especially of the historical period before the fall of the Western Roman Empire,archaic
ancient,belonging to times long past especially of the historical period before the fall of the Western Roman Empire,historical
ancient,belonging to times long past especially of the historical period before the fall of the Western Roman Empire,past
ancient,belonging to times long past especially of the historical period before the fall of the Western Roman Empire,early
angry,feeling or showing anger,agitated
angry,feeling or showing anger,annoyed
angry,feeling or showing anger,emotional
annual,completing its life cycle within a year,cyclical
anxious,eagerly desirous,keen
appalling,strike with disgust or revulsion,terrible
apparent,clearly revealed to the mind or the senses or judgment,clear
applied,concerned with concrete problems or data rather than with fundamental principles,functional
appointed,subject to appointment,official
appointed,subject to appointment,assigned
appropriate,suitable for a particular person or place or condition etc,proper
approved,established by authority; given authoritative approval,legitimate
approved,established by authority; given authoritative approval,official
approved,established by authority; given authoritative approval,valid
arbitrary,based on or subject to individual discretion or preference or sometimes impulse or caprice,discretionary
arbitrary,based on or subject to individual discretion or preference or sometimes impulse or caprice,personal
arbitrary,based on or subject to individual discretion or preference or sometimes impulse or caprice,random
arbitrary,based on or subject to individual discretion or preference or sometimes impulse or caprice,individual
architectural,of or pertaining to the art and science of architecture,structural
