hyponym,hypo-definition,hypernym,hyper-definition
abnormal,"""not normal; not typical or usual or regular or conforming to a norm""",different,"""unlike in nature or quality or form or degree"""
abnormal,"""not normal; not typical or usual or regular or conforming to a norm""",uncommon,"""not common or ordinarily encountered; unusually great in amount or remarkable in character or kind"""
above,"""appearing earlier in the same text""",preceding,"""existing or coming before"""
absolute,"""perfect or complete or pure""",perfect,"""being complete of its kind and without defect or blemish"""
absolute,"""perfect or complete or pure""",total,"""constituting the full quantity or extent; complete"""
absolute,"""perfect or complete or pure""",pure,"""free of extraneous elements of any kind"""
accessible,"""capable of being reached""",obtainable,"""capable of being obtained"""
accurate,"""conforming exactly or almost exactly to fact or to a standard or performing with total accuracy""",valid,"""well grounded in logic or truth or having legal force"""
accurate,"""conforming exactly or almost exactly to fact or to a standard or performing with total accuracy""",truthful,"""expressing or given to expressing the truth"""
active,"""tending to become more severe or wider in scope""",severe,"""intensely or extremely bad or unpleasant in degree or quality"""
addicted,"""compulsively or physiologically dependent on something habit-forming""",compulsive,"""caused by or suggestive of psychological compulsion"""
additional,"""further or added""",further,"""to a considerable degree; very much"""
administrative,"""of or relating to or responsible for administration""",organizational,"""of or relating to an organization"""
administrative,"""of or relating to or responsible for administration""",governmental,"""relating to or dealing with the affairs or structure of government or politics or the state"""
advanced,"""farther along in physical or mental development""",evolved,"""nan"""
adverse,"""contrary to your interests or welfare""",negative,"""characterized by or displaying negation or denial or opposition or resistance; having no positive features"""
aesthetic,"""relating to or dealing with the subject of aesthetics""",philosophical,"""of or relating to philosophy or philosophers"""
afraid,"""filled with fear or apprehension""",concerned,"""feeling or showing worry or solicitude"""
afraid,"""filled with fear or apprehension""",timid,"""showing fear and lack of confidence"""
aggregate,"""formed of separate units gathered into a mass or whole""",assembled,"""nan"""
aggregate,"""formed of separate units gathered into a mass or whole""",collective,"""done by or characteristic of individuals acting together"""
aggregate,"""formed of separate units gathered into a mass or whole""",unified,"""formed or united into a whole"""
agile,"""moving quickly and lightly""",fast,"""acting or moving or capable of acting or moving quickly"""
agreed,"""united by being of the same opinion""",consistent,"""(sometimes followed by ‘with’) in agreement or consistent or reliable"""
agreed,"""united by being of the same opinion""",similar,"""marked by correspondence or resemblance"""
agreed,"""united by being of the same opinion""",unified,"""formed or united into a whole"""
alien,"""not contained in or deriving from the essential nature of something""",extraneous,"""not pertinent to the matter under consideration"""
alien,"""not contained in or deriving from the essential nature of something""",strange,"""being definitely out of the ordinary and unexpected; slightly odd or even a bit weird"""
alien,"""not contained in or deriving from the essential nature of something""",unfamiliar,"""not known or well known"""
alive,"""possessing life""",living,"""pertaining to living persons"""
alive,"""possessing life""",biological,"""pertaining to biology or to life and living things"""
alive,"""possessing life""",existing,"""presently existing"""
alleged,"""declared but not proved""",asserted,"""confidently declared to be so"""
alleged,"""declared but not proved""",purported,"""nan"""
alleged,"""declared but not proved""",reported,"""made known or told about; especially presented in a formal account"""
alleged,"""declared but not proved""",claimed,"""nan"""
allied,"""of or relating to or denoting the Allies in World War II""",military,"""of or relating to the study of the principles of warfare"""
allied,"""of or relating to or denoting the Allies in World War II""",international,"""any of several international socialist organizations"""
alone,"""isolated from others""",detached,"""showing lack of emotional involvement"""
alone,"""isolated from others""",remote,"""located far away spatially"""
aloof,"""remote in manner""",unfriendly,"""not easy to understand or use"""
alright,"""nonstandard usage""",adequate,"""having the requisite qualities or resources to meet a task"""
alternative,"""serving or used in place of another""",replacement,"""the act of furnishing an equivalent person or thing in the place of another"""
amateur,"""engaged in as a pastime""",casual,"""marked by blithe unconcern"""
amazing,"""surprising greatly""",surprising,"""causing surprise or wonder or amazement"""
amber,"""of a medium to dark brownish yellow color""",yellowish,"""of the color intermediate between green and orange in the color spectrum; of something resembling the color of an egg yolk"""
amber,"""of a medium to dark brownish yellow color""",brownish,"""of a color similar to that of wood or earth"""
amber,"""of a medium to dark brownish yellow color""",golden,"""having the deep slightly brownish color of gold"""
ambiguous,"""open to two or more interpretations; or of uncertain nature or significance; or (often) intended to mislead""",obscure,"""not clearly expressed or understood"""
ancient,"""belonging to times long past especially of the historical period before the fall of the Western Roman Empire""",archaic,"""so extremely old as seeming to belong to an earlier period"""
ancient,"""belonging to times long past especially of the historical period before the fall of the Western Roman Empire""",historical,"""of or relating to the study of history"""
ancient,"""belonging to times long past especially of the historical period before the fall of the Western Roman Empire""",past,"""earlier than the present time; no longer current"""
ancient,"""belonging to times long past especially of the historical period before the fall of the Western Roman Empire""",early,"""at or near the beginning of a period of time or course of events or before the usual or expected time"""
angry,"""feeling or showing anger""",agitated,"""troubled emotionally and usually deeply"""
angry,"""feeling or showing anger""",annoyed,"""aroused to impatience or anger"""
angry,"""feeling or showing anger""",emotional,"""determined or actuated by emotion rather than reason"""
annual,"""completing its life cycle within a year""",cyclical,"""recurring in cycles"""
anxious,"""eagerly desirous""",keen,"""having or demonstrating ability to recognize or draw fine distinctions"""
appalling,"""strike with disgust or revulsion""",terrible,"""causing fear or dread or terror"""
apparent,"""clearly revealed to the mind or the senses or judgment""",clear,"""readily apparent to the mind"""
applied,"""concerned with concrete problems or data rather than with fundamental principles""",functional,"""designed for or capable of a particular function or use"""
appointed,"""subject to appointment""",official,"""having official authority or sanction"""
appointed,"""subject to appointment""",assigned,"""appointed to a post or duty"""
appropriate,"""suitable for a particular person or place or condition etc""",proper,"""marked by suitability or rightness or appropriateness"""
approved,"""established by authority; given authoritative approval""",legitimate,"""of marriages and offspring; recognized as lawful"""
approved,"""established by authority; given authoritative approval""",official,"""having official authority or sanction"""
approved,"""established by authority; given authoritative approval""",valid,"""well grounded in logic or truth or having legal force"""
arbitrary,"""based on or subject to individual discretion or preference or sometimes impulse or caprice""",discretionary,"""having or using the ability to act or decide according to your own discretion or judgment"""
arbitrary,"""based on or subject to individual discretion or preference or sometimes impulse or caprice""",personal,"""concerning or affecting a particular person or his or her private life and personality"""
arbitrary,"""based on or subject to individual discretion or preference or sometimes impulse or caprice""",random,"""lacking any definite plan or order or purpose; governed by or depending on chance"""
arbitrary,"""based on or subject to individual discretion or preference or sometimes impulse or caprice""",individual,"""being or characteristic of a single thing or person"""
architectural,"""of or pertaining to the art and science of architecture""",structural,"""relating to or caused by structure, especially political or economic structure"""
armed,"""(used of persons or the military) characterized by having or bearing arms""",militarized,"""issued military arms"""
armed,"""(used of persons or the military) characterized by having or bearing arms""",prepared,"""made ready or fit or suitable beforehand"""
armed,"""(used of persons or the military) characterized by having or bearing arms""",military,"""of or relating to the study of the principles of warfare"""
arrogant,"""having or showing feelings of unwarranted importance out of overbearing pride""",conceited,"""characteristic of false pride; having an exaggerated sense of self-importance"""
artificial,"""contrived by art rather than nature""",synthetic,"""not of natural origin; prepared or made artificially"""
artificial,"""contrived by art rather than nature""",man-made,"""not of natural origin; prepared or made artificially"""
artistic,"""relating to or characteristic of art or artists""",imaginative,"""(used of persons or artifacts) marked by independence and creativity in thought or action"""
artistic,"""relating to or characteristic of art or artists""",expressive,"""performing gestures or possessing qualities or features that suggest a certain state of being or emotion"""
ashamed,"""feeling shame or guilt or embarrassment or remorse""",embarrassed,"""feeling or caused to feel ill at ease or self-conscious or ashamed"""
ashamed,"""feeling shame or guilt or embarrassment or remorse""",guilty,"""responsible for or chargeable with a reprehensible act"""
asleep,"""in a state of sleep""",resting,"""nan"""
assistant,"""of or relating to a person who is subordinate to another""",secondary,"""being of second rank or importance or value; not direct or immediate"""
assistant,"""of or relating to a person who is subordinate to another""",dependent,"""relying on or requiring a person or thing for support, supply, or what is needed"""
assistant,"""of or relating to a person who is subordinate to another""",auxiliary,"""functioning in a supporting capacity"""
astonishing,"""surprising greatly""",extraordinary,"""beyond what is ordinary or usual; highly unusual or exceptional or remarkable; special"""
atomic,"""of or relating to or comprising atoms""",material,"""concerned with worldly rather than spiritual interests"""
atomic,"""of or relating to or comprising atoms""",chemical,"""relating to or used in chemistry"""
atomic,"""of or relating to or comprising atoms""",physical,"""involving the body as distinguished from the mind or spirit"""
attempted,"""tried unsuccessfully""",fruitless,"""unproductive of success"""
automatic,"""operating with minimal human intervention; independent of external control""",self-sufficient,"""able to provide for your own needs without help from others"""
automatic,"""operating with minimal human intervention; independent of external control""",self-operating,"""nan"""
available,"""obtainable or accessible and ready for use or service""",obtainable,"""capable of being obtained"""
average,"""approximating the statistical norm or average or expected value""",standard,"""conforming to or constituting a standard of measurement or value; or of the usual or regularized or accepted kind"""
awful,"""offensive or even (of persons) malicious""",evil,"""morally bad or wrong"""
awful,"""offensive or even (of persons) malicious""",bad,"""having undesirable or negative qualities"""
back,"""related to or located at the back""",dorsal,"""belonging to or on or near the back or upper surface of an animal or organ or part"""
balanced,"""being in a state of proper equilibrium""",even,"""divisible by two"""
bald,"""with no effort to conceal""",exposed,"""with no protection or shield"""
bare,"""not having a protective covering""",defenseless,"""lacking protection or support"""
basic,"""pertaining to or constituting a base or basis""",underlying,"""be or form the base for"""
beautiful,"""delighting the senses or exciting intellectual or emotional admiration""",appealing,"""able to attract interest or draw favorable attention"""
beautiful,"""delighting the senses or exciting intellectual or emotional admiration""",pleasing,"""giving pleasure and satisfaction"""
beneficial,"""promoting or enhancing well-being""",constructive,"""constructing or tending to construct or improve or promote development"""
big,"""above average in size or number or quantity or magnitude or extent""",substantial,"""of considerable importance, size, or worth"""
binding,"""executed with proper legal authority""",official,"""having official authority or sanction"""
biological,"""pertaining to biology or to life and living things""",organic,"""relating or belonging to the class of chemical compounds having a carbon basis"""
biological,"""pertaining to biology or to life and living things""",physical,"""involving the body as distinguished from the mind or spirit"""
biological,"""pertaining to biology or to life and living things""",living,"""pertaining to living persons"""
biological,"""pertaining to biology or to life and living things""",scientific,"""of or relating to the practice of science"""
bitter,"""causing a sharp and acrid taste experience""",pungent,"""strong and sharp"""
bitter,"""marked by strong resentment or cynicism""",negative,"""characterized by or displaying negation or denial or opposition or resistance; having no positive features"""
bizarre,"""conspicuously or grossly unconventional or unusual""",peculiar,"""beyond or deviating from the usual or expected"""
black,"""being of the achromatic color of maximum darkness; having little or no hue owing to absorption of almost all incident light""",achromatic,"""having no hue"""
black,"""offering little or no hope""",dire,"""fraught with extreme danger; nearly hopeless"""
