hyponym,hypo-definition,hypernym
cruel,(of persons or their actions) able or disposed to inflict pain or suffering,brutal
desperate,arising from or marked by despair or loss of hope,despairing
desperate,arising from or marked by despair or loss of hope,hopeless
unreasonable,not reasonable; not showing good judgment,irrational
criminal,bringing or deserving severe rebuke or censure,reprehensible
dangerous,involving or causing danger or risk; liable to hurt or harm,risky
consistent,(sometimes followed by ‘with’) in agreement or consistent or reliable,steady
rigid,designating an airship or dirigible having a form maintained by a stiff unyielding frame or structure,stiff
cruel,(of persons or their actions) able or disposed to inflict pain or suffering,unkind
dangerous,involving or causing danger or risk; liable to hurt or harm,unsafe
predictable,capable of being foretold,anticipatable
hungry,feeling hunger; feeling a need or desire to eat food,appetitive
confident,having or marked by confidence or assurance,assured
loud,characterized by or producing sound of great volume or intensity,audible
absent,not being in a specified place,away
liberal,"tolerant of change; not bound by authoritarianism, orthodoxy, or tradition",broad-minded
vocational,of or relating to a vocation or occupation; especially providing or undergoing training in special skills,career
occupational,of or relating to the activity or business for which you are trained,career-related
disabled,"the total or partial absence of a person's bodily or mental functions, including the absence of a part of a person's body",challenged
armed,(used of persons or the military) characterized by having or bearing arms,combatant
essential,basic and fundamental,core
numerous,amounting to a large indefinite number,countless
extinct,no longer in existence; lost or especially having died out leaving no living representatives,dead
accused,a defendant in a criminal proceeding,defendant
architectural,of or pertaining to the art and science of architecture,designing
explicit,precisely and clearly expressed or readily observable; leaving nothing to implication,direct
embarrassed,feeling or caused to feel ill at ease or self-conscious or ashamed,discomfited
prone,having a tendency (to); often used in combination,disposed
bland,lacking taste or flavor or tang,dull
contemporary,characteristic of the present,existing
delicate,easily broken or damaged or destroyed,exquisite
subtle,difficult to detect or grasp by the mind or analyze,faint
parental,designating the generation of organisms from which hybrid offspring are produced,familial
remote,far apart in relevance or relationship or kinship,far
delicate,easily broken or damaged or destroyed,feeble
articulate,expressing yourself easily or characterized by clear expressive language,fluent
unnecessary,not necessary,gratuitous
ultimate,furthest or highest in degree or order; utmost or extreme,greatest
suspicious,openly distrustful and unwilling to confide,guarded
residential,used or designed for residence or limited to residences,habitable
political,involving or characteristic of politics or parties or politicians,ideological
fixed,securely placed or fastened or set,immovable
restless,lacking or not affording physical or mental rest,impatient
native,characteristic of or existing by virtue of geographic origin,indigenous
awkward,lacking grace or skill in manner or movement or performance,inelegant
broken,physically and forcibly separated into pieces or cracked or split,injured
orthodox,of or pertaining to or characteristic of Judaism,jewish
famous,widely known and esteemed,known
coastal,of or relating to a coast,maritime
central,in or near a center or constituting a center; the inner area,medial
urban,relating to or concerned with a city or densely populated area,metropolitan
strategic,relating to or concerned with strategy,military
varied,characterized by variety,mixed
increasing,becoming greater or larger,mounting
appointed,subject to appointment,nominated
lay,characteristic of those who are not members of the clergy,non-clerical
civilian,associated with civil life or performed by persons who are not active members of the military,non-military
lay,characteristic of those who are not members of the clergy,nonclerical
civilian,associated with civil life or performed by persons who are not active members of the military,noncombatant
vertical,at right angles to the plane of the horizon or a base line,orientational
conservative,"resistant to change, particularly in relation to politics or religion",orthodox
toxic,of or relating to or caused by a toxin or poison,pathogenic
inevitable,incapable of being avoided or prevented,predestined
critical,being in or verging on a state of crisis or emergency,pressing
colonial,of or relating to or characteristic of or inhabiting a colony,settler
variable,liable to or capable of change,shifting
still,used of pictures; of a single or static photograph not presented so as to create the illusion of motion; or representing objects not capable of motion,stationary
following,going or proceeding or coming after in the same direction,succeeding
alternative,serving or used in place of another,surrogate
vulnerable,susceptible to attack,susceptible
alleged,declared but not proved,suspected
tense,taut or rigid; stretched tight,taut
warm,having or producing a comfortable and agreeable degree of heat or imparting or maintaining heat,thermal
fat,having an (over)abundance of flesh,thick
following,going or proceeding or coming after in the same direction,trailing
revolutionary,of or relating to or characteristic or causing an axial or orbital turn,transformative
aware,(sometimes followed by ‘of’) having or showing knowledge or understanding or realization or perception,understanding
primitive,belonging to an early stage of technical development; characterized by simplicity and (often) crudeness,undeveloped
different,unlike in nature or quality or form or degree,unlike
intact,constituting the undiminished entirety; lacking nothing essential especially not damaged,unmarred
spontaneous,happening or arising without apparent external cause,unpremeditated
free,costing nothing,unpriced
boring,so lacking in interest as to cause mental weariness,unstimulating
single,not married or related to the unmarried state,unwedded
tense,taut or rigid; stretched tight,uptight
critical,being in or verging on a state of crisis or emergency,urgent
strange,being definitely out of the ordinary and unexpected; slightly odd or even a bit weird,weird
tiny,very small,微型
